id;"nome_pais,""quantidade"",""preco_medio"",""descricao_mais_longa""";
324;"South Africa,11,4620,""With 4,300 bottles produced and only 110 cases imported, this is a gorgeous small production Cab that should be grabbed up when you find it. It's all dark fruit and sweet spice with notes of black currant, fig, plum, leather and cigar box. With firm tannins and a medium-full weight, this is a big but balanced wine that's easy to enjoy now or can be cellared for a couple of years.""";
325;"Lebanon,1,510,""Enticing whiffs of spice, dried herb and ripe, briary berries emerge from this rich, structured wine. The fruit on the palate is lavish, almost pulpy, but it's framed by lush tannins and brisk acidity. The finish is herbal and bracing.""";
326;"New Zealand,41,9430,""Winemaker Simon Waghorn has been able to maintain this brand's quality even as production has ramped up to 100,000 cases, a remarkable feat. The 2008 features ripe, tropical fruit aromas of guava and pineapple that morph easily into flavors of nectarine and fig";
327;"Lebanon,2,380,""This Chardonnay, Viognier and Vermentino blend from Lebanon starts with aromas of candied allspice, flowers and toast. On the palate, the wine offers soft, subtle flavors of spice, flowers and vanilla. Unusual but approachable—pair with poultry, cheeses.""";
328;"France,2,5700,""Effectively half-and-half Merlot and Cabernet Franc, this is a tremendous wine. With very fine tannins, spice from a touch of wood and swathes of ripe fruits give this wine its concentration and its huge potential. The wine has weight and a dark, dense structure that will allow it to age for many years. Drink from 2027.""";
329;"Italy,30,37500,""What sets Gaja's super Tuscan apart is the extraordinary softness it offers both on the nose and in the mouth. The wine's aromas are cushiony and round, including milk chocolate, smooth cherry and silky spice. It tastes like liquid chocolate in the mouth and follows up with plump tannins and chewy succulence.""";
330;"Serbia,1,160,""This semi-dry red wine is garnet in color, with aromas of red cherry and red raspberry plus lifted top notes of eucalyptus and mint. In the mouth, flavors of red raspberry and black currant shine brightly before the juicy finish.""";
331;"France,5,4550,""This second wine of whites from both Haut-Brion and La Mission Haut-Brion is both rich and intensely crisp. It has a fine blend between great acidity and grapefruit fruit and a more tropical element. The tangy texture is taut with a mineral edge. Drink from 2020.""";
332;"Spain,160,35200,""Yeasty, melony aromas come with a note of sourdough bread. This feels round, citric and tight, with lime, orange and bready flavors. A crisp citrusy finish exudes a sense of elegance along with freshness.""";
333;"Brazil,6,1200,""This leesy, bready, heavily toasted Brazilian sparkler offers heady vanilla and caramel notes on the nose. A round, plump, soda-like palate is home to toasty, leesy, lightly oxidized apple flavors that finish briny, bready and marginally fresh. Drink now.""";
334;"Portugal,1,4950,""This rare survival comes from Ramisco grapes planted on their own rootstock on sandy soil close to the Atlantic Ocean. Considering its great age, the wine is remarkably fruity and fresh. With a tarry texture and firm tannins it also has layers of red-cherry fruit and acidity. The wine is impressive, and not just a relic. Drink immediately after opening";
335;"US,1,1490,""A tiny-production wine made to honor the legacy of Jimmy Valvano, this Cab is huge, leathery and possibly not for everyone. For those who do like a complexity of funk, this one delivers, with a massive mouthfeel of minerality, finished in black licorice and chocolate.""";
336;"France,2,50000,""The wine is a velvet glove in an iron fist. The smooth surface of ripe fruits and rich blackberry flavors, masks the dense tannins that will allow this very great wine to age for many, many years. The acidity and the rich fruit combine with the fine dusty tannins. The wine will surely not be ready to drink before 2027.""";
337;"South Africa,49,6860,""Wood aromas are front and center on the nose of this lush Pinotage, with notes of berry preserves and cherry compote in the background. The smooth palate boasts ample acidity and ripe tannins that lend a spicy grip to the rich chocolate and jammy fruit flavors. Drink now.""";
338;"Turkey,2,760,""Aromas of black cherry, brambly berry, violet and oregano give way to sophisticated flavors of dark fruit, spice and leather. This nicely balanced Syrah offers harmonious tannins, with just a touch of grippiness, leading to a smooth, somewhat savory finish.""";
339;"Italy,11,8360,""This sophisticated blend of Sauvignon, Chardonnay, Ribolla Gialla, Malvasia Istriana and Picolit opens with a deep, off-gold color and rich aromas of honey, apricot, candied fruit and a touch of exotic spice. The mouthfeel is creamy and long-lasting.""";
340;"Chile,12,4680,""This Cabernet Sauvignon-Carmenère blend is a green machine with a pyrazine-led explosion of green bean and bell pepper aromas. Robust and grabby on the palate, this tastes heavily of herbal plum and canned green bean, while a minty finish includes flavors of olive and bitterness. This feels right but smells and tastes extremely green.""";
341;"Germany,6,5700,""Unctuously honeyed and floral, this is an irressistably pretty auslese that's sweet with peach and pear nectar, but vibrant, almost searing, with citrus acidity. It's not the most complex in style, but it's appealing for its decadent style and lingering sugar-laced finish.""";
342;"France,2,2520,""The superb palate boasts richness, with honey and orange zest notes. It shows fine balance between the flavors of orange jelly and the intense botrytis-driven notes. It has a light, delicate texture and acidity.""";
343;"Austria,46,15640,""Yeasty and juicy, this is a very savory Grüner where peppery, herbal spice stands in the foreground with lots of citrus freshness. This is lip-smackingly fresh, lively and intense.""";
344;"Argentina,19,7410,""This wine needs air in order to get at its dark-fruit aromas. In the mouth, this blend of Malbec, Petit Verdot and Cab Franc is ripe but smacks down hard with tannins. Flavors of blackberry, cassis and herbs end with complex notes of graphite and chalk. This gets better the more time you spend with it. Drink through 2024.""";
345;"Italy,219,56940,""You can tell by its thin but still very vibrant color that this is a traditional Chianti Classico (90/10 Sangiovese–Canaiolo) that puts emphasis on delicacy and balance, not on thick concentration. It is that quality that makes this wine well-suited to most Italian and Mediterranean dishes.""";
346;"US,974,633100,""Zesty, full-bodied and expansive on the palate, this is a wine that comes around in time, in the glass and in the bottle or decanter. Briny and dancing a fine line between brawn and beauty, it paints a picture of classic green and yellow apple and subtle vanilla spice, with a tropical flirtation happening in the background. Structured, it should cellar well, through 2020.""";
347;"England,2,500,""There is a flinty touch of reduction on the nose. The frothy palate follows with freshness and verve: there is rhubarb and lime peel, fresh lemon and tart greengage. The frothiness makes this exuberant and fun while the generous dosage puts us in mind of spring flowers and elder blossom.""";
348;"US,849,636750,""Zesty blackberry and boysenberry are lifted by white pepper and a touch of thyme on this wine's deep and dark yet fresh nose. Steadily growing acidity frames the palate, where flavors of wet clay and olallieberry paste dominate.""";
349;"Bulgaria,1,550,""Deep ruby in color, this wine offers aromas of cherry, blackberry and tobacco. Generous and round in the mouth, it has flavors of black cherry and pipe tobacco with an evenly weighted balance of velvety tannins and bright acidity.""";
350;"Spain,1,3510,""Everything about this stately Ribera heavyweight impresses. The nose is outright oaky, so expect derivative aromas of toast, clove, cinnamon and spice to go with black-fruit scents. This remains firm, tannic and tightly wrapped, with massive blackberry, chocolate and toast flavors. Peppery spice, brooding mixed-berry flavors and mouth-coating tannins endow a finish that signals that this has many good years ahead of it. Drink from 2018–2032.""";
351;"Austria,10,5400,""You can feel the unctuous, oily richness as soon as this wine reaches the tongue. It is dense and concentrated, with sweet green plums and a creamy texture. The old-vine fruit, enveloping the mouth, just leaves a hint of spice.""";
352;"Slovenia,11,1650,""Zesty and full bodied, this has delightful aromas of freshly mowed lawn, lemon pith and grapefruit zest. It's clean, crisp and somewhat astringent on the palate, making this a great wine to pair with raw clams and oysters.""";
353;"Spain,18,17100,""Typical of the best 2009 Riojas, this is aromatic with scents of berry fruits, graphite and spice all mixed to the right proportions. A well-structured palate features firm but flexible tannins and fresh flavors of plum, berry, spice and mocha. On the finish, darkness takes over in the form of espresso, peppercorn and bitter chocolate flavors. This can be drunk now but will benefit from another 5–10 years of aging.""";
354;"Armenia,1,150,""Deep salmon in color, this wine offers a bouquet of cantaloupe and nectarine. It is bright on entry, with full mouthfeel and flavors of pineapple, grapefruit and white peach that culminate in a bright citrus finish.""";
355;"US,1,2190,""From a beautiful vintage on the relatively cooler end of the valley, this wine combines 89% Cabernet Sauvignon with 7% Petit Verdot and 4% Cabernet Franc. Cedar, herb and savory sage open into a strong element of forest floor and rose garden. Tight firm tannin wrap around a robust ripeness that finds balance in accompanying acidity. Enjoy from 2024–2034.""";
356;"France,2,5400,""From one of the great grand crus of Gevrey-Chambertin, this is a firm, tannic wine with great life ahead of it. Powered and dense, it's packed with black fruit that's slowly developing. It will mature evenly over many years and will be best from 2026.""";
357;"Uruguay,1,520,""Aromas of baked berries and spice are mature and complex. This feels rich and almost lactic, while oaky, buttery flavors of roasted berry fruits and molasses finish soft and cuddly, with a licorice note. Drink this very nice Uruguayan blend of Tannat and other red grapes now.""";
358;"Brazil,1,210,""Dry, earthy aromas of baked berry fruits and mushroom set up a tannic, pulpy, full-bodied palate with good balance. This blend of Cabernet Sauvignon, Merlot and Tannat boasts earthy plum, pepper and licorice flavors along with a light, herbal finish. Drink now.""";
359;"Canada,4,1080,""This straight-on wine powers through with clean apple and peach fruit, wrapped in a blanket of barrel toast. Full-flavored and crisp, it does not show much complexity, but plenty of toasty goodness.""";
360;"France,8,15600,""This is a rich, smoky and structured wine. Black fruit and dark tannins form a dense texture with touches of licorice, spice and dark concentration. The acidity hints at the vintage giving a touch of freshness and lift. Drink this powerful wine from 2024""";
361;"Canada,6,900,""This wine may surprise you with its rich round full-bodied fruit. It's not the racy, high-acid style you might expect from a BC winery–rather it pumps up the flavors with pear, peach and papaya front and center, clean and fresh. Fermentation took place in a mix of oak, concrete egg and steel.""";
362;"Mexico,1,330,""This blend of Tempranillo and Grenache is gritty up front, with strong black-fruit aromas and lemony oak notes. A palate with minty, dark flavors of licorice, plum, cherry and even citrus is attractive and shows acidic balance. For a big wine with grip, it's more meaty than mean.""";
363;"France,94,34780,""With three years' aging, this has developed into an almond- and toast-flavored wine that has softened and rounded the fruit. It has turned into a serious wine, its rich structure allied to the acidity. Ready to drink.""";
364;"Germany,11,7590,""Smoke tones blow off revealing layers of tropical fruit encased in wax and lanolin on this bold, nuanced wine. It's dry in style with a luscious, creamy texture cut with shards of acid and lime-zest astringency. Finishes long and lean.""";
365;"Moldova,1,240,""This red blend is comprised of 50% Cabernet Sauvignon, 30% Merlot, 15% Saperavi and 5% Rara Neagra. It has aromas of black plum, saddle leather, black pepper and menthol. In the mouth there are flavors of sour cherry and dried plums with a velvety tannic finish.""";
366;"France,1,1540,""Regarded almost as a Grand Cru in its own right, the Moutonne vineyard, wholly owned by Albert Bichot, is in a corner of the Vaudésir Grand Cru vineyard. In this sumptuous year, the wine is more generous, ripe yellow fruits than mineral texture. The acidity and the tangy aftertaste are a reminder that this is from cool-climate Chablis. Drink from 2023.""";
367;"France,160,112000,""You can feel the alcohol the moment the wine goes in the mouth. It is heavy, powerful, monumental and way too much. Dark tannins and a density that overwhelms are the dominant characters, with only a walk-on part for the black plum fruits. Drink this tannic wine from 2018.""";
368;"Israel,23,11500,""This wine offers aromas of raspberry and toffee. There is a nice interplay of fruit, floral, and minty flavors, notably raspberry, cherry, toffee, rose petal and eucalyptus. Mildly gripping tannins make themselves evident, and fruit flavors remain prominent through the smooth finish.""";
369;"US,998,479040,""Zinfandel, Petite Sirah and Mixed Blacks go into this sumptuous wine, velvety smooth in texture with dollops of blackberry, strawberry and chocolate combining for a decadent experience. The grapes are sourced from an estate vineyard and co-fermented together, giving the wine a seamless feel.""";
370;"Bulgaria,1,230,""Pale straw in the glass, this wine has a nose of pineapple and lemon blossom with a strong dose of vanilla. It is round and full in the mouth, with rich flavors of green apple, guava and tropical fruits with a slight hint of toast that carry on through the long-lasting finish.""";
371;"Spain,307,39910,""You'll find plenty to like in this bubbly. The aromas are very refined and Champagnesque, with toast, lees, vanilla, spice, charcoal and a waft of citrus. The flavors are similarly of toast and mineral. This is not a fruit-driven wine. It's a little rough around the edges";
372;"Spain,1,1760,""Big and sultry as always, with bacon, smoke, black fruit and a full rack of spices making for a wonderful bouquet. Concentrated and ripped for a 2007, with blackberry, clove, pepper, cinnamon and vanilla flavors. And then comes tobacco and more spice on the finish, which is grabby but understandable because it's so young. Best from 2012 through 2019.""";
373;"Portugal,4,2240,""This old tawny Port has developed a green-gold color and extreme concentration. With a beautiful floral perfume, the flavors are of almonds, acidity and a bite of spirit, while overall is the beautiful smooth texture.""";
374;"Georgia,3,630,""This wine offers a bouquet of black cherry and butterscotch. Its cherry, blueberry and mint flavors are enwrapped in forceful tannins that give way to a finish marked by black fruit.""";
375;"Italy,107,38520,""We can now enjoy a lively little group of Sicilian producers who also make metodo classico sparkling wine. This expression from the Carricante grape shows dry fruit and mineral notes with background tones of fresh baked bread and dried hay.""";
376;"Austria,33,11880,""Yeasty roundedness plays the leading role on the nose and palate. Amidst those rich leesy notes, hints of pepper and lemon appear and the overall impression is one of savory yeasty richness tempered by zesty freshness of lemon and grapefruit. This is full-on drama. Enjoy.""";
377;"Croatia,9,1800,""White peach and flower petal notes on the nose gain rich honeydew and fresh herb flavors on the palate of this refreshing, concentrated Malvasia. Bright acidity and a lovely saline touch keep the finish brisk and balanced.""";
378;"Spain,3,9000,""Ripe, muscular aromas of forest floor, blackberry, cassis and violet are stunningly attractive. This is showing vise-grip tannins in support of blackberry, licorice, mocha and woodspice flavors. Café mocha and an oaky, creamy note of toffee work the finish on this well-structured wine that should be drunk from 2015–2025.""";
379;"Mexico,1,540,""A world-class wine regardless of origin, this Cabernet Sauvignon, Merlot, Tempranillo and Zinfandel blend is as full as they come, with alluring black cherry, cola and graphite aromas. The mouthfeel is smooth and rich, with a wave of cola, molasses and chocolate along with black cherry and blackberry. Sweet, dark, smoky and long on the finish. Drink now–2014.""";
380;"Australia,19,5130,""Very similar in style and feel to the 2005 offering, Wise's 2006 Single Vineyard Chardonnay is a crisp, nicely structured wine with a preponderance of citrus and toasty oak flavors. Apple and pear notes add just the right amount of fleshiness.""";
381;"Italy,6,7080,""This polished and structured Barolo presents rich fruit and floral scents of black cherry, plum and rose. The dark fruit and spice flavors layered with eucalyptus and balsamic notes are delicious. It's still young, with bracing but ripe tannins that need to soften, but this already shows great complexity.""";
382;"Portugal,184,46000,""Wood-aged, this is a ripe-textured wine that has rich flavors of yellow and white fruits and toast. It has concentrated, intense fruit that bursts in the mouth. Delicious and impressive, this could be aged for another two years.""";
383;"Serbia,1,260,""This white wine from Serbia has aromas of caramelized pineapple and elderflower. It is lively and energetic, with flavors of Japanese apple and ripe pineapple.""";
384;"Italy,3,7650,""Sperss (the name is inspired by the local word for “nostalgia”) is a vineyard located in the Barolo territory of Serralunga. Angelo Gaja adds 6% Barbera to the wine for brightness and freshness but the overall ensemble shows so much more than that. It delivers sophisticated softness and a velvety texture that is backed by exotic spice and loads of wild berry and licorice. Add huge depth and intensity and you have the criteria for a cellar-worthy wine. Will be ready to drink after 2020.""";
385;"US,1937,968500,""Zippy, zesty acidity balances the ripe pear, lime and tropical fruit flavors. There are also rich streaks of buttered toast and vanilla bean from having matured in oak, as well as a yeastiness from having aged on its lees. Dry and complex, this wine is meant to be consumed with crab and buttered bread.""";
386;"Slovakia,1,160,""Delicious scents of honey, apples and petrol lead to a luscious, full-bodied palate full of smoke and honey with a gripping lime skin astringency on the finish. Rich in honey tones, yet quite dry, the palate is balanced with a bracing acidity.""";
387;"Italy,3,6600,""White truffle, dark chocolate, ripe plum and blue flowers are some of the aromas you'll find in this impressive Merlot. The powerful, extracted palate doles out fleshy blackberry, black cherry, clove, tobacco, licorice and cured meat. Velvety tannins wrap around the bold flavors, providing support and a smooth texture. You'll also detect the warmth of evident alcohol, which gives it a one-dimensional finish.""";
388;"US,4,3760,""This wine is a blend of McQueen, Bob Healy and Lefore vineyard fruit, aged 22 months in 73% new French oak. Alluring aromas of macerated cherries, scorched earth, coffee, barrel spice and dark chocolate are followed by supple, focused, concentrated dark-fruit flavors. It brings some tannic heft that will benefit from time in the cellar. Best from 2023–2030.""";
389;"France,4,11200,""With its fine tannic structure, plum juice sweetness and beautifully ripe fruits, this is a wine that combines structure with a rich velvet coat. The acidity gives a fine lift, bringing out strawberries and a final piercing freshness.""";
390;"Argentina,1,1170,""Bargain hunters need not apply, but if you're looking for a pricey but serious Argentine red, the '06 Magdalena Toso is a fine place to begin. At 70% Malbec and 30% Cab, it's stout, dark and rich. Aromas of coconut and mint announce new French oak, while the density and purity of the blackberry and plum fruit is commendable. Finishes long and ripe, with spice, prune and leather. Good acidity ensures that it will age well for three to five years.""";
391;"France,175,140000,""Wood dominates this wine, the wine itself relatively light, but finely composed. There are spicy tannins with intense acidity, crisp black currants, bursting through the overlay of wood.""";
392;"Austria,2,1360,""Wonderfully concentrated notes of ripe mirabelle plums open up on the nose. There also is a heady lemon note. The palate is rich with the same fleshy ripe fruit but has a fault line of zesty orange at its core that provides focus and seems to illuminate clouds of ripe aromatic citrus at every turn. This shimmers with tangerine and clementine. The body is immensely concentrated but has total direction and drive. Enjoy 2020–2040.""";
393;"Hungary,2,1080,""Straw colored with gold reflections, this delightful sweet wine has aromas of dried pear, fresh apricot and yellow peach. Flavors of fresh Bartlett pear, acacia honey and tinned apricots unfold on the palate. The finish is sweet, with just the right amount of acidity.""";
394;"Austria,70,28000,""Zesty lemon paired with riper tropical notes of pineapple counter the racy acidity of this full-flavored wine. This takes time to open up but the intense palate is worth the wait. So serious it should be had with food.""";
395;"Germany,71,12780,""Zesty and brisk, with notes of white grapefruit and fresh herbs, this dry, full-bodied Riesling is almost bracingly tart, with flavors of lime and lime-skin. A vibrant pairing with soft, creamy cheese or fatty pork dishes.""";
396;"South Africa,4,4000,""Toasted hazelnut, Honeycomb cereal, apple pie and orange cream lead the powerful nose of this decadent Chenin. The medium-weight palate is lush and smooth in texture, with ample acidity to counter the ripe baked apple and honeydew fruit. Toasted, buttered nuts and sweet spice flavors abound on the finish. Drink now.""";
397;"Austria,15,12000,""Tight, mineral, taut wine, showing citrus, lime zest and pear skin flavors. Stone fruits emerge in an elegant texture. This is structured, powerful, offering serious aging potential.""";
398;"US,597,137310,""Youthful and exuberant on the nose with notes of melon, guava and blossom, this is an easy-quaffing off-dry Riesling. Delicately framed, it's brisk and bright with subtle flavors of apple and lemon.""";
399;"Georgia,3,1050,""A winemaking history in a bottle, this Georgian wine made from Rkatsiteli grapes is an unusual peek into techniques tracing back 8,000 years. Deep gold in color due to an extended maceration on grape skins, this wine was aged in buried clay vessels, then oak, giving it a smoky, earthy profile with notes of butterscotch and roasted nut skins. There's not a lot of acidity, but it's refreshing with pretty orange peel notes and a grape tannin astringency on the finish.""";
400;"Hungary,8,1520,""This red blend from Hungary is garnet in color with aromas of cranberry and black cherry. Flavors suggest tart cherry and pomegranate juice, with grippy tannins and an acidic finish.""";
401;"Lebanon,1,140,""A kitchen sink blend of red grape varieties from Cinsault to Tempranillo, this quirky Lebanese red is soft and pulpy with overripe fruit, mocha chocolate and a whiff of barnyard on the nose and palate.""";
402;"Austria,13,5590,""Very ripe yellow pear mixed with punchy arugula create a contrast that makes this wine hard to put down. Partly aged in large, used acacia barrels, partly in stainless steel, the slender but ripe body is accentuated by the peppery edge. Very moreish with a lovely and long finish.""";
403;"New Zealand,12,9000,""This special Sauvignon Blanc is only being released in top vintages. The first was the 2010";
404;"Uruguay,21,4200,""This blend of Pinot Noir and Chardonnay is orange in color and smells neutral except for a note of orange peel. On the palate, this has a grabby skins-driven texture. Short flavors of stone fruits are chunky and clunky. Other than having a mild flavor of nectarine, the finish is neutral.""";
405;"Italy,9,540,""With an astonishing 1.5 million cases produces, this historic red sparkling red wine from central Italy offers a sweet palate with easy raspberry and cherry aromas.""";
406;"France,3,7860,""The lively mousse carries this sophisticated wine, which is the perfect partner to the Comtes de Champagne Blanc de Blancs. Everything is in its place, well integrated and with great precision. This trends to the sweeter side of Brut but with bottle age this has brought fine secondary flavors that are ripe and rich. The wine will age further, drink until 2020.""";
407;"New Zealand,22,11000,""Toasty, buttery and laced with tropical fruit, this is a full-bodied, fully-oaked Chardonnay that manages to pull all that off with grace and aplomb, thanks to healthy acid levels and admirable concentration. Long on the finish";
408;"US,116,8120,""Yellow in color and thick in the bouquet. The nose is hard to peg, but there are notes of mustard and asparagus. The palate offers some orange and apple flavors, but also something similar to canned peas. It seems overripe and past its prime.""";
409;"Italy,480,81600,""Zesty and simple, this has fruity aromas of bright red berry and a floral note. The lean diluted palate offers suggestions of unripened sour cherry and a hint of orange zest. Sharp, bracing acidity dominates.""";
410;"Argentina,7,2170,""Waves of berry aromas matched by oak-based vanilla and a hint of violet comprise the nose on this Malbec-led blend that smacks hard in the mouth with tannic bite and acidity. Flavors of wild berry, cherry and hard spices finish juicy and lively. Drink through 2018.""";
411;"Argentina,2,1760,""Full aromas of toasty oak, blackberry and vanilla feed into a saturated hard-pointed tartaric palate. Flavors of Christmas spice, oak and baked black fruits display hints of nutmeg and cola on a blocky hard finish. Drink through 2020.""";
412;"Italy,1,6250,""A rich, ripe expression of one of Italy's iconic wines, this displays the heat of the 2011 vintage. It opens with aromas of red currants, tobacco, oak and exotic spice while the full-bodied palate delivers dried black cherries, blueberry extract, licorice and black pepper. Densely concentrated and tightly packed with assertive but fine-grained tannins, you'll need to give this time to unwind. Drink 2017–2026.""";
413;"France,1,3850,""This massive wine is powered by dark, concentrated and smoky tannins that are masking the fruit. Dry and dense, it will take many years for the black fruits behind the facade to develop. Drink this intense wine from 2025.""";
414;"France,5,5850,""Young vines, planted in 2007, give a fresh, fruity wine with attractive citrus and zingy orange flavors. It is ripe and deliciously perfumed with a touch of minerality and saltiness. Drink from 2019.""";
415;"France,13,14560,""This is the best Delamotte vintage since 1996, a ripe and rich wine that brings out the chalky soil character with a strong mineral content. It has weight along with a relatively high dosage that gives softness. It is balanced, fruity and ready to drink.""";
416;"US,236,108560,""Winemaker Norm Yost's decision to release later than most of his neighbors pays off tremendously every vintage. The nose on this bottling is delicate but with tons of sexy, supple depth, mixing red cherry, hibiscus and pomegranate with iron and sweet bay leaf. Perfect red fruits decorate the lavish palate: the tartness of cranberry, the lushness of red cherry, the brightness of pomegranate, all cut by eucalyptus and expert acidity.""";
417;"Israel,2,880,""This blend of 44% Shiraz, 34% Merlot and 22% Cabernet Sauvignon boasts dense notes of black berry, cherry and raspberry on the nose and mouth, with soft hints of game, char and roasted cocoa nib. The mouthfeel is lush but lifted, with medium acidity and structured tannins that lend grip to the finish.""";
418;"France,6,17940,""Very ripe, rich, structured wine, exuding power and concentration. It is packed with red fruits and damsons, creating a juicy character and tense mineral acidity. A magnificent wine, for aging.""";
419;"Croatia,3,540,""Aromas of superripe red fruit and charred wood match the soft mocha and red fruit flavors on this Croatian red made from the Teran grape. Finishes a bit sour with mouth-puckering acidity and tannins.""";
420;"Portugal,2,2320,""There is an initial smoky character, followed by a burst of ripe, rich black fruits, giving the wine weight and a dark, brooding core. Black plum and berry fruits, considerable acidity and a delicate final perfume flesh out this wine's character. For serious aging.""";
421;"Chile,2,1320,""This is a rich and heady Cabernet from head to toe. Solid, ripe blackberry and cassis aromas are coated with oaky coconut scents. In the mouth, this is saturated and heavy to the point of being syrupy. Flavors of chocolate, oaky char and herbal berry flavors finish smoky and spicy. Drink through 2020.""";
422;"Greece,2,880,""Ripe white fruits, Turkish delight and spice lead this complex, aromatic Chardonnay. Balanced on the palate, with layers of peach, citrus and tropical fruit, this is buoyed by fresh acidity. Suitable for fuller-bodied meals, it's also delicious on its own.""";
423;"France,2,10400,""This is the big one, one of the most treasured white wine vineyards in the world. And the wine is magnificent, balanced with restrained power and style. Yellow fruits are shot through with acidity that conveys a nervy texture and an intense, concentrated character. This needs many years";
424;"Argentina,26,16900,""Until this four-man group effort produces something that's less than outstanding, LTU will rank as a go-to producer of excellent full-bodied Malbec. This vintage is ripe on the nose, then saturated yet proportionally balanced on the palate. Plum, wild berry, roasted notes, licorice and herbal flavors finish big and ready. This doesn't need much time in bottle";
425;"Canada,2,780,""The inviting aromas mix smoke, tobacco, cassis and cedar. There's no fat on this wine";
426;"Mexico,6,780,""Yeasty aromas are suggestive of vanilla wafer and corn cakes, with apple and melon scents lurking. A plump, low-acid palate delivers pithy, lightly bitter citrus and stone-fruit flavors, while notes of melon and honey fail to make much noise on the finish.""";
427;"US,4,3080,""The Rutherford grapes that go into this wine travel down to Santa Barbara post-harvest, a journey that doesn't diminish the wine's sense of place. It represents its dusty provenance well amid a taste of sanguine tannins, soy sauce and ripe plum.""";
428;"US,1258,478040,""Zin fans should pick up this winery's entire range of small-batch takes on the grape, as they are all fascinating. This one is lighter in color and offers fresh blackberry and chopped black-sage aromas. The palate is very easy to sip, with salt and cherry flavors creating a food-friendly version of an often overpowering grape.""";
429;"France,114,10260,""With its little seasoning of Muscadelle in the blend, this is an attractively perfumed wine. It has bright acidity, plenty of herbaceous flavors and a final pear and crisp apple aftertaste. Drink from the end of 2015.""";
430;"Italy,37,55500,""You'll find aromas suggesting underbrush, scorched earth, truffle, grilled herb and a balsamic note on this robust red. The brawny palate evokes dried black cherry, prune, licorice and tobacco alongside chewy tannins and the heat of evident alcohol. Let the muscular tannins unwind for a few more years then drink sooner rather than later to capture the remaining fruit.""";
431;"Germany,2,1780,""Pronounced struck flint and candle wax aromas fade with time and aeration, revealing delicate white blossom and lemon rind notes in this off-dry wine. It's an intensely racy Kabinett with salt-rimmed lime and lemon flavors that dart and dash on the palate. Enjoy now for its radiant youthfulness, but also as it matures over the next decade.""";
432;"Germany,2,2760,""The high-quality oak used in this wine really stands out, providing touches of brown sugar, cinnamon, coffee and bacon to the otherwise modest black cherry fruit. It's reasonably full-bodied for a German Pinot Noir, with a long finish and supple tannins.""";
433;"Portugal,2,2840,""A 30-year-old tawny that shows great intensity and rich dried fruits and honey as well as the woody flavors from long aging in barrel. It's a very fine wine, dry in character with touches of bitter marmalade and finished with intense acidity. Like all tawnies, the wine is ready to drink.""";
434;"France,1,3030,""A rich wine, full and fruity up front, then opening up into a much more mineral, textured character. It is a great explosion of citrus, pear and green apple, the wood aging showing with subtlety. It's a wine for aging, complex and tight at the end.""";
435;"France,11,10560,""With smoky aromas and strict tannins, this is initially an austere wine. The fruit remains firm and tight, very powerful, while the final acidity gives a delicious, more juicy finale.""";
436;"Turkey,6,1200,""This wine has a nose of soft citrus and tropical fruits. It is very soft on the palate, with flavors of citrus, jasmine, acacia flower, lemon rind, and apple cider.""";
437;"Austria,3,3000,""This is a compelling red for those who like a bit of mystery: is it red or black cherry? Or possibly, dark, aromatic elderberry? Oak spicily supports this interchange of fruit, and firm tannins lend structure while the fresh acidity keeps it lively. It's almost like a whole cast of characters were lined up in this wine for your entertainment. The lingering finish is especially convincing. This will get even better with cellaring";
438;"Chile,1,310,""Olive, herb and earth aromas vie with foresty fruit aromas, while the palate is rough and ready, with rugged tannins and full flavors of baked fruit, caramel, herbs and chocolate. A catchy blended wine with a sweet finish and tons of flavor. Cabernet is the main player here";
439;"India,1,130,""Dark violet-red in color, this wine has a bouquet of blueberry, brambles and flint. It is soft on entry, with a web of tannins that spreads across the palate. Flavors of cherry preserves, bacon and juniper berry are at play in the mouth, and bright fruit notes and tactile tannins come in waves through the lingering finish.""";
440;"India,1,200,""The nose carries notes of cassis, blackberry and bell pepper. An approachable, yet complex wine, the palate shows flavors of black cherry, bacon, black pepper, vanilla and espresso bean. Rich tannins linger without burdening the taste buds. Pleasant notes of smoke and salt linger on the finish.""";
441;"France,34,15980,""With its good bottle age, this bone-dry Champagne from Roederer has gained impressive complexity. The wine is certainly dry, but toast, vanilla and ground almond flavors add to the fruit. The apple skin texture holds this delicious wine together.""";
442;"France,49,15190,""With its spice and wood flavors, this wine is rich and deliciously concentrated. It has a bold yellow fruit and spice character that is warm and rounded. The wine is ready to drink.""";
443;"Australia,1,610,""This starts off slowly, but red raspberry notes emerge after some vigorous swirling. It's full-bodied and supple, featuring some berry tea-like flavors, hints of cocoa and a fine, softly dusty finish. Drink it over the next 10 years.""";
444;"South Africa,12,3480,""Wood-grilled peach aromas mingle with notes of orange blossom and almond skins on the nose. Juicy and well balanced, the rich toasty red apple and orange creamsicle flavors lead into the long wood-spiced close. Drink now.""";
445;"Greece,7,1820,""This single-vineyard Agiorgitiko has an earthy olive nose and smooth, integrated flavors of red berry, herbs and spice. Soft but structured tannins and a spin of spice on the finish recommend it for heartier dishes, but it's good enough to savor on its own. Elegant, but with some muscle.""";
